cond,epoch_bin,loss
step_by_step,2.0,0.4837882137298583
step_by_step_a0.1,0.0,28.511553344726565
step_by_step_a0.1,0.1,5.225425310134888
step_by_step_a0.1,0.2,3.5742434946695965
step_by_step_a0.1,0.3,3.490765336354573
step_by_step_a0.1,0.4,3.406460933685304
step_by_step_a0.1,0.5,3.3930258178710937
step_by_step_a0.1,0.6,3.3702945184707644
step_by_step_a0.1,0.7,3.3361363283793133
step_by_step_a0.1,0.8,3.376646188100179
step_by_step_a0.1,0.9,3.319160671234131
step_by_step_a0.1,1.0,3.084246374766032
step_by_step_a0.1,1.1,2.754378401438395
step_by_step_a0.1,1.2,2.691168737411499
step_by_step_a0.1,1.3,2.6160436820983883
step_by_step_a0.1,1.4,2.6477552509307865
step_by_step_a0.1,1.5,2.633159809112549
step_by_step_a0.1,1.6,2.6096653366088867
step_by_step_a0.1,1.7,2.6206063413619995
step_by_step_a0.1,1.8,2.6598332341512045
step_by_step_a0.1,1.9,2.6253638553619387
step_by_step_a0.1,2.0,2.568150691986084
step_by_step_a0.3,0.0,25.91091079711914
step_by_step_a0.3,0.1,5.403984699249268
step_by_step_a0.3,0.2,3.8243741734822594
step_by_step_a0.3,0.3,3.7329693603515626
step_by_step_a0.3,0.4,3.643087577819824
step_by_step_a0.3,0.5,3.635777994791667
step_by_step_a0.3,0.6,3.604089231491089
step_by_step_a0.3,0.7,3.5774544016520182
step_by_step_a0.3,0.8,3.6130634689331056
step_by_step_a0.3,0.9,3.552177386283874
step_by_step_a0.3,1.0,3.327561117808024
step_by_step_a0.3,1.1,3.0264339574178063
step_by_step_a0.3,1.2,2.963982481956482
step_by_step_a0.3,1.3,2.897256628672282
step_by_step_a0.3,1.4,2.9162419414520264
step_by_step_a0.3,1.5,2.91383004506429
step_by_step_a0.3,1.6,2.878267192840576
step_by_step_a0.3,1.7,2.885914945602417
step_by_step_a0.3,1.8,2.941897455851237
step_by_step_a0.3,1.9,2.906187944412232
step_by_step_a0.3,2.0,2.8304765892028807
